TaskID,Input1,Output1_1,Noise1_1,LST
17,-0.9196775,1.2593288,0.19129264,0
17,-0.8883255,1.2197816,0.18689847,0
17,-0.856693,1.1749612,0.16346292,0
17,-0.8247597,1.131459,0.15511401,0
17,-0.7924904,1.0784361,0.1745948,0
17,-0.75981486,1.017943,0.16800356,0
17,-0.7266512,0.946318,0.15291692,0
17,-0.6929207,0.86985946,0.16009407,0
17,-0.65854305,0.7835876,0.17693837,0
17,-0.6234737,0.7030279,0.18631259,0
17,-0.58767676,0.61485136,0.20257099,0
17,-0.55098957,0.5061693,0.21370287,0
17,-0.51319426,0.38357195,0.22717832,0
17,-0.47434282,0.29847166,0.2642358,0
17,-0.43445927,0.19052175,0.28898954,0
17,-0.39323014,0.06206561,0.26848346,0
17,-0.35085332,0.0015727609,0.32839057,0
17,-0.30764064,-0.07063813,0.37467578,0
17,-0.26338208,-0.15705661,0.40162665,0
17,-0.21794957,-0.23937412,0.37965584,0
17,-0.17169888,-0.26881495,0.40206608,0
17,-0.12496892,-0.30484718,0.48057517,0
17,-0.077635825,-0.34878883,0.5702161,0
17,-0.029735053,-0.37764364,0.65165466,0
17,0.017858991,-0.30821598,0.76077634,0
17,0.064217664,-0.21916088,0.8625745,0
18,-0.85477495,1.9774818,0.32780468,0
18,-0.827501,1.8455107,0.25207856,0
18,-0.7995216,1.709438,0.21472818,0
18,-0.77082187,1.585376,0.19231795,0
18,-0.7413904,1.4582384,0.17767073,0
18,-0.71115094,1.3224587,0.18191841,0
18,-0.6800088,1.1811128,0.19026732,0
18,-0.6478354,1.0252666,0.18279724,0
18,-0.614544,0.8799661,0.20608632,0
18,-0.5800419,0.72119033,0.18894908,0
18,-0.54416776,0.56065696,0.23435545,0
18,-0.5070729,0.45710102,0.25544745,0
18,-0.46881366,0.3238115,0.2823983,0
18,-0.42934588,0.2267004,0.29924262,0
18,-0.38882706,0.1339835,0.30290443,0
18,-0.34723705,0.0431708,0.3266329,0
18,-0.30472255,-0.016736258,0.34962904,0
18,-0.26140228,-0.08382053,0.3404013,0
18,-0.21740454,-0.11926677,0.3623721,0
18,-0.17296125,-0.1506118,0.39005533,0
18,-0.12815149,-0.17346165,0.389323,0
18,-0.08307631,-0.18986645,0.39972252,0
18,-0.037707794,-0.21667089,0.5013742,0
18,0.007910644,-0.22575209,0.5056219,0
18,0.053737678,-0.2474299,0.6690848,0
18,0.09990936,-0.27423432,0.7301637,0
18,0.1462908,-0.27643156,0.8634534,0
19,-0.9546094,0.017538173,1.1427757,1
19,-0.91171443,-0.006190469,0.81863284,1
19,-0.8685905,-0.019812273,0.6406692,1
19,-0.8254525,-0.009705658,0.5653825,1
19,-0.782478,0.0033303553,0.4244763,1
