TaskID,Input1,Output1_1,Output1_2
785,0.6929134,0.8696718,0.5667717
785,0.7007874,0.8730106,0.5689607
785,0.70866144,0.87637544,0.57113165
785,0.71653545,0.87971383,0.5732854
785,0.72440946,0.8830261,0.5754224
785,0.7322835,0.8863985,0.5776642
785,0.7401575,0.8898583,0.579921
785,0.7480315,0.8932152,0.5820274
785,0.7559055,0.8966367,0.5842446
785,0.7637795,0.8999417,0.58645487
785,0.77165353,0.9034226,0.588651
785,0.77952754,0.90678394,0.5908337
785,0.78740156,0.9101319,0.593013
785,0.79527557,0.9135535,0.5953026
785,0.8031496,0.91695493,0.5974464
785,0.8110236,0.92033803,0.59958863
785,0.81889766,0.923703,0.6018422
785,0.8267717,0.92705023,0.6039518
785,0.8346457,0.93038154,0.6060548
785,0.8425197,0.9336983,0.60828453
785,0.8503937,0.93709743,0.6103658
785,0.8582677,0.9403899,0.612439
785,0.86614174,0.9437583,0.6145051
785,0.87401575,0.9471216,0.6166876
785,0.88188976,0.950475,0.61876017
785,0.8897638,0.9538209,0.62091976
785,0.8976378,0.95723414,0.6229965
785,0.9055118,0.9605956,0.62503815
785,0.9133858,0.9639883,0.62716717
785,0.9212598,0.96740687,0.6292541
785,0.92913383,0.97081995,0.63136184
785,0.93700784,0.9742754,0.6334568
785,0.9448819,0.97777253,0.63554287
785,0.9527559,0.98122853,0.6376479
785,0.96062994,0.98465365,0.6397127
785,0.96850395,0.98811054,0.6418277
785,0.97637796,0.991511,0.6438678
785,0.984252,0.99497956,0.64599204
785,0.992126,0.998436,0.6479976
785,1.0,1.0018,0.65
787,0.0,0.7193,0.5715714
787,0.007874016,0.7158425,0.57028574
787,0.015748031,0.7120107,0.5685289
787,0.023622047,0.70791423,0.56669384
787,0.031496063,0.7037302,0.56480825
787,0.03937008,0.69947696,0.5631484
787,0.047244094,0.6950257,0.5615796
787,0.05511811,0.6908203,0.5600699
787,0.062992126,0.6867576,0.55865324
787,0.070866145,0.6825398,0.557361
787,0.07874016,0.6781584,0.556252
787,0.08661418,0.67362195,0.55545497
787,0.09448819,0.6690472,0.55495024
787,0.10236221,0.6646399,0.55446595
787,0.11023622,0.66027176,0.5539971
787,0.11811024,0.65590316,0.5535714
787,0.12598425,0.6515379,0.5532386
787,0.13385826,0.6471848,0.553
787,0.14173229,0.6429106,0.553
787,0.1496063,0.6385965,0.55314285
787,0.15748031,0.63429546,0.55328614
787,0.16535433,0.6300276,0.5536761
787,0.17322835,0.6256142,0.5542005
787,0.18110237,0.6211659,0.55486256
787,0.18897638,0.6166488,0.5555954
787,0.19685039,0.6121255,0.55647254
